date,sr,fact,enc_hub
2021-12-03,1,2,78
2022-06-04,27,79,28
2021-03-22,9380,11002,104
2021-07-31,294,308,70
2022-06-04,2,306,92
2021-12-03,1761,1582,47
2021-12-03,1078,1126,79
2022-03-03,4850,5824,53
2022-03-03,342,488,96
2022-03-03,195,186,51
2021-07-31,2167,2488,91
2021-12-03,5645,6223,60
2022-03-03,3622,3748,14
2022-07-05,3,22,73
2021-12-03,22289,21017,104
2021-03-22,135,124,79
2021-12-03,959,983,121
2021-06-07,5949,6048,105
2022-03-03,954,1232,102
2022-03-03,20074,28101,66
2022-03-03,8,147,69
2022-07-05,15,19,13
2022-03-03,84,769,39
2021-06-07,197,164,125
2021-06-07,406,377,34
2022-06-04,2,12,1
2021-03-22,284,779,121
2022-03-03,2414,2862,129
2022-06-04,2,2,40
2022-07-05,1717,1963,45
2022-07-05,1257,1262,23
2021-06-07,414,398,3
2021-03-22,9135,10171,65
2022-03-03,16358,23422,63
2022-03-03,52,348,117
2022-07-05,6,9,87
2022-03-03,363,329,110
2021-02-13,156,135,70
2021-12-03,4995,6552,119
2022-06-04,11,228,41
2022-07-05,5458,5406,120
2022-03-03,12,208,37
2021-12-03,278,210,75
2022-03-03,3,4,7
2022-07-05,4529,4898,31
2022-03-03,7709,7288,76
2021-12-03,7479,10174,17
2022-03-03,1679,2750,21
2022-03-03,1051,1516,113
2021-12-03,15836,14873,65
2022-06-04,187,372,131
2022-07-05,6747,98,101
2022-07-05,104,370,124
2021-12-03,3,6,114
2022-03-03,10837,11988,65
2021-02-13,1678,2107,25
2022-06-04,243,404,4
2021-07-31,4306,5415,103
2021-03-22,330,340,97
2021-03-22,163,170,22
2022-06-04,2689,3465,49
2022-03-03,7097,8238,119
2021-12-03,10190,9215,44
2022-06-04,10927,15662,68
2022-07-05,13,32,0
2022-03-03,1427,6,17
2021-06-07,266,239,70
2021-02-13,2725,3348,64
2022-06-04,2,41,125
2021-03-22,2846,2855,31
2021-02-13,14071,18289,62
2021-12-03,2942,3613,127
2021-07-31,1566,1482,25
2021-12-03,2324,2892,97
2021-12-03,826,953,13
2021-02-13,2861,2816,33
2021-12-03,4911,5462,31
2022-06-04,1473,248,134
2021-12-03,5,6,74
2022-03-03,129,196,75
2021-02-13,8,9,108
2021-07-31,123,209,26
2022-03-03,9710,13084,60
2022-07-05,2105,2298,5
2021-07-31,15057,18200,62
2021-12-03,13,27,73
2021-07-31,255,236,116
2022-03-03,15255,18999,104
2021-07-31,2,2,98
2022-03-03,1032,1358,79
2022-03-03,1,4,47
2021-12-03,6738,7767,84
2022-03-03,1128,1327,24
2021-12-03,1255,1060,120
2021-02-13,81,95,38
2021-03-22,1772,3550,84
2021-07-31,3415,3056,33
2021-12-03,522,457,23
2021-07-31,2138,2647,64
2021-07-31,185,301,108
2022-03-03,123,103,78
2022-06-04,100,343,10
2021-02-13,8647,8948,103
2022-03-03,1473,1838,121
2021-07-31,269,374,89
2021-12-03,610,536,87
2021-12-03,9,12,130
2022-03-03,39644,52046,68
2022-06-04,1582,1260,53
2021-06-07,8870,8781,65
2022-06-04,25,77,51
2021-12-03,574,711,111
2021-07-31,1,1,114
2021-02-13,454,265,97
2021-07-31,3191,3533,44
2022-07-05,10506,11098,33
2021-12-03,208,171,85
2022-03-03,27,242,4
2022-06-04,832,1472,14
2022-06-04,33,1221,96
2022-07-05,6,8,8
2022-07-05,9732,10240,103
2022-07-05,480,1479,99
2022-03-03,3466,6559,49
2021-07-31,342,317,88
2022-06-04,10,848,69
2021-12-03,8084,7582,91
2022-03-03,13804,16844,105
2021-07-31,1300,1467,71
2022-03-03,5,13,9
2021-02-13,1409,1567,31
2021-07-31,954,654,97
2022-03-03,1775,2353,131
2022-07-05,10965,13538,57
2022-07-05,7264,6915,20
2021-02-13,199,180,88
2022-06-04,58,198,117
2021-07-31,1757,2075,84
2022-06-04,266,1548,129
2022-03-03,929,1054,125
2022-07-05,2789,3279,116
2021-07-31,3369,3447,31
2022-03-03,5910,6630,134
2021-06-07,9518,9967,104
2021-06-07,209,195,79
2022-06-04,9026,10637,63
2022-07-05,17586,20160,62
2022-07-05,3340,2500,46
2022-07-05,2311,2494,30
2022-06-04,3026,2243,76
